wikidata,name,include
Q729,animal,1
Q756,plant,1
Q34379,musical instrument,1
Q41176,building,1
Q42889,vehicle,1
Q2095,food,1
Q14745,furniture,1
Q11460,clothing,1
Q747883,physical activity,1
Q17442446,Wikidata internal item,0
Q6256,country,0
Q5107,continent,0
Q34770,language,0
Q515,city,0
Q47461344,written work,0
Q634,planet,0
Q523,star,0
Q43229,organization,0
Q9174,religion,0
Q315,language,0
Q336,science,0
Q309,history,0
Q10683158,substance,1
Q1047113,speciality,0
Q26907166,temporal entity,0
Q115537581,imaginary character,0
Q712378,organ,1
Q6999,astronomical object,0
Q15324,body of water,1
Q7048977,abstract entity,0
Q151885,concept,0
Q39546,physical tool,1
Q4164871,role,0
Q618123,geographical feature,1
Q838948,work of art,0
Q214609,material,1
Q25257,precipitation,1
Q13226383,facility,1
Q811979,architectural structure,1
Q4936952,anatomical structure,1
Q2424752,product,1
Q1639378,social system,0
Q1272626,representation,0
Q13418847,historical event,0
Q796194,medical procedure,0
Q11663,weather,1
