<http://www.wikidata.org/entity/Q17442446>	"Wikimedia internal item"@en	"instances of this page are about some Wikimedia-only content and should not refer to real world entities"@en	0	"internal item"
<http://www.wikidata.org/entity/Q6256>	"country"@en	"distinct territorial body or political entity"@en	192	"countries"
<http://www.wikidata.org/entity/Q5107>	"continent"@en	"large landmass identified by convention"@en	246	""
<http://www.wikidata.org/entity/Q34770>	"language"@en	"particular system of communication, often named for the region or peoples that use it"@en	27	"human language;;;idiom;;;idioms;;;lang;;;languages;;;particular language"
<http://www.wikidata.org/entity/Q515>	"city"@en	"large human settlement"@en	248	"cities"
<http://www.wikidata.org/entity/Q47461344>	"written work"@en	"any work expressed in writing, such as inscriptions, manuscripts, documents or maps"@en	0	"creative written work;;;written delivery"
<http://www.wikidata.org/entity/Q634>	"planet"@en	"celestial body directly orbiting a star or stellar remnant"@en	256	"planetary body;;;planets"
<http://www.wikidata.org/entity/Q523>	"star"@en	"astronomical object consisting of a luminous spheroid of plasma held together by its own gravity"@en	267	"celestial star;;;celestial stars;;;stars;;;the stars"
<http://www.wikidata.org/entity/Q43229>	"organization"@en	"social entity established to meet needs or pursue goals"@en	121	"institution;;;organisation;;;organisations;;;organization in sociology;;;organizations"
<http://www.wikidata.org/entity/Q9174>	"religion"@en	"social-cultural system"@en	294	"religious tradition"
<http://www.wikidata.org/entity/Q315>	"language"@en	"structured system of communication"@en	324	"linguistic capability;;;linguistic system;;;linguistic systems;;;speech;;;system of communication;;;systems of communication;;;ways to talk"
<http://www.wikidata.org/entity/Q336>	"science"@en	"systematic endeavor that builds and organizes knowledge, and the set of knowledge produced by this system"@en	314	"empirical sciences;;;general science;;;sciences;;;scientific knowledge"
<http://www.wikidata.org/entity/Q309>	"history"@en	"past events and their tracks or records"@en	309	""
<http://www.wikidata.org/entity/Q1047113>	"specialty"@en	"field limited to a specific area of knowledge; specialization in an occupation or branch of learning; a specific use"@en	12	"domain;;;field of study;;;special field;;;specialism;;;specialized field of study;;;sub-discipline;;;subdiscipline;;;subject area"
<http://www.wikidata.org/entity/Q26907166>	"temporal entity"@en	"thing that can be contained within a period of time, or change in state (e.g. events, periods, acts)"@en	1	"temporal object;;;temporal thing;;;temporary entity"
<http://www.wikidata.org/entity/Q115537581>	"imaginary character"@en	"character known only from narrations (fictional or in a factual manner) without a proof of existence; includes fictional, mythical, legendary or religious characters and similar"@en	0	"imaginary person;;;imagined character;;;imagined person"
<http://www.wikidata.org/entity/Q6999>	"astronomical object"@en	"physical body of astronomically-significant size, mass, or role, naturally occurring in a universe"@en	109	"astronomical bodies;;;astronomical body;;;astronomical objects;;;celestial bodies;;;celestial body;;;celestial object;;;celestial objects"
<http://www.wikidata.org/entity/Q7048977>	"abstract entity"@en	"entity that does not have a physical existence, including abstract objects and properties"@en	20	"abstractum;;;intangible entity;;;non-physical entity"
<http://www.wikidata.org/entity/Q151885>	"concept"@en	"semantic unit understood in different ways, e.g. as mental representation, ability or abstract object (philosophy)"@en	93	"concepts"
<http://www.wikidata.org/entity/Q4164871>	"position"@en	"social role with a set of powers and responsibilities within an organization"@en	19	"function;;;mantle;;;office;;;officeholder;;;post;;;station;;;title"
<http://www.wikidata.org/entity/Q838948>	"work of art"@en	"aesthetic item or artistic creation; object whose value is its beauty only, not practical usefulness"@en	63	"art;;;artistic work;;;artistic works;;;art object;;;art piece;;;art work;;;artwork;;;art works;;;artworks;;;piece of art"
<http://www.wikidata.org/entity/Q1639378>	"social system"@en	"patterned series of interrelationships existing between individuals, groups, and institutions"@en	27	""
<http://www.wikidata.org/entity/Q1272626>	"representation"@en	"entity or process that portrays something else, usually in a simplified or approximated manner"@en	9	"image;;;likeness"
<http://www.wikidata.org/entity/Q13418847>	"historical event"@en	"particular incident in history that brings about a historical change"@en	3	"turning point;;;turning point in history"
<http://www.wikidata.org/entity/Q796194>	"medical procedure"@en	"process of medicine done to heal; course of action intended to achieve a result in the delivery of healthcare"@en	11	"medical procedures;;;therapeutic technique (instance)"
